Job Title,Job URL,Company Name,Compnay URL,Exp,Salary,Location,Skills,Posted
Area Sales Executive(Third Party Payroll) - Sirsa/ Banswara,https://www.naukri.com/job-listings-area-sales-executive-third-party-payroll-sirsa-banswara-exide-industries-ltd-sirsa-banswara-2-to-7-years-260521001061?src=jobsearchDesk&sid=16233957827611842_11&xp=11&px=12,EXIDE INDUSTRIES LTD,https://www.naukri.com/exide-industries-jobs-careers-414,2-7 Yrs,Not disclosed,"Sirsa, Banswara",Distributor Sales|Channel Sales|Dealer Development|Product Awareness|Payment Collection|Sales Strategy|network development|Network Expansion,2 Days Ago
Product Manager - Hyderabad (Contractual- 6 months),https://www.naukri.com/job-listings-product-manager-hyderabad-contractual-6-months-macmillan-publishers-india-pvt-ltd-hyderabad-secunderabad-5-to-9-years-240321004554?src=jobsearchDesk&sid=16233957827611842_11&xp=12&px=12,Macmillan Publishers India Pvt Ltd.,https://www.naukri.com/macmillan-publishers-india-jobs-careers-828925,5-9 Yrs,Not disclosed,Hyderabad,Communication Skills|Product Management|Sales|Data Analysis|Btl|ROI|LI|Product Training,1 Day Ago
Hiring For Product Information Database Specialist,https://www.naukri.com/job-listings-hiring-for-product-information-database-specialist-axcess-inc-pte-ltd-noida-3-to-5-years-231220004510?src=jobsearchDesk&sid=16233957827611842_11&xp=13&px=12,Axcess Inc PTE Ltd,https://www.naukri.com/axcess-pte-jobs-careers-3466364,3-5 Yrs,Not disclosed,Noida,Excel|Product Information Management|MIS|Data Management|Data Analysis|Management Systems|MIS Reporting,Just Now
Business Analyst,https://www.naukri.com/job-listings-business-analyst-contec-global-group-nigeria-africa-5-to-10-years-210820901119?src=jobsearchDesk&sid=16233957827611842_11&xp=14&px=12,CONTEC GLOBAL GROUP,https://www.naukri.com/premium-jobs-jobs-careers-678662,5-10 Yrs,Not disclosed,"Nigeria, Africa",Adobe Acrobat|Sales|Writing Skills|Business Analyst|Public Sector|Data Analysis|Presales|Market Research,1 Day Ago
Procurement Market Intelligence Expert,https://www.naukri.com/job-listings-procurement-market-intelligence-expert-dsm-shared-services-india-p-ltd-hyderabad-secunderabad-10-to-12-years-190421006314?src=jobsearchDesk&sid=16233957827611842_11&xp=15&px=12,DSM Shared Services India (P) Ltd.,https://www.naukri.com/dsm-shared-services-india-jobs-careers-737053,10-12 Yrs,Not disclosed,Hyderabad,Category Management|Market Penetration|Data Manipulation|Competitive Intelligence|Finance|Market Share|Data Analysis|Market Intelligence,Just Now
Tibco Spotfire BI developer - Contract 2 Hire,https://www.naukri.com/job-listings-tibco-spotfire-bi-developer-contract-2-hire-high-finch-global-chennai-4-to-9-years-110621903248?src=jobsearchDesk&sid=16233957827611842_11&xp=16&px=12,High Finch Global,https://www.naukri.com/premium-jobs-jobs-careers-678662,4-9 Yrs,Not disclosed,Chennai,Oracle|DWH|TIBCO Spotfire development|SQL|IT Skills|TIBCO Spotfire development|BI developer|Tibco Spotfire,Just Now
Avanade Scrum Development Application Developer,https://www.naukri.com/job-listings-avanade-scrum-development-application-developer-accenture-solutions-pvt-ltd-gurgaon-gurugram-8-to-10-years-110621901799?src=jobsearchDesk&sid=16233957827611842_11&xp=17&px=12,Accenture Solutions Pvt Ltd,https://www.naukri.com/accenture-solutions-jobs-careers-27117,8-10 Yrs,Not disclosed,Gurgaon,communication|Avanade Scrum Development|written|verbal|data analysis|trouble shooting|Product management|Business process,Just Now
Area Sales Executive(offroll) - Farrukhabad,https://www.naukri.com/job-listings-area-sales-executive-offroll-farrukhabad-exide-industries-ltd-farrukhabad-2-to-7-years-110521008108?src=jobsearchDesk&sid=16233957827611842_11&xp=18&px=12,EXIDE INDUSTRIES LTD,https://www.naukri.com/exide-industries-jobs-careers-414,2-7 Yrs,Not disclosed,Farrukhabad,Distributor Sales|Channel Sales|Dealer Development|Product Awareness|Payment Collection|Sales Strategy|network development|Network Expansion,2 Days Ago
Senior Software Engineer - Mantas,https://www.naukri.com/job-listings-senior-software-engineer-mantas-cgi-information-systems-and-management-consultants-hyderabad-secunderabad-6-to-10-years-100621907007?src=jobsearchDesk&sid=16233957827611842_11&xp=19&px=12,CGI Information Systems and Management Consultants,https://www.naukri.com/cgi-group-jobs-careers-1882984,6-10 Yrs,Not disclosed,Hyderabad,SQL queries|JEE|Java|Oracle database|HTML|Data analysis|SQL|MS Visio,1 Day Ago
System Analyst,https://www.naukri.com/job-listings-system-analyst-innovative-trending-solutions-new-delhi-delhi-ncr-3-to-7-years-100621905870?src=jobsearchDesk&sid=16233957827611842_11&xp=20&px=12,Innovative Trending Solutions,https://www.naukri.com/premium-service-jobs-careers-872138,3-7 Yrs,Not disclosed,"New Delhi, Delhi / NCR",Web Technologies|System Analysis|Problem Solving|Data Analysis|SQL Queries|Application Support|SharePoint Framework,1 Day Ago
Data Analyst - Gurgaon,https://www.naukri.com/job-listings-data-analyst-gurgaon-optum-global-solutions-india-private-limited-gurgaon-gurugram-4-to-8-years-100621903145?src=jobsearchDesk&sid=16233957827611842_12&xp=1&px=13,Optum Global Solutions (India) Private Limited,https://www.naukri.com/optum-global-solutions-india-jobs-careers-126573,4-8 Yrs,Not disclosed,Gurgaon,IT Skills|Python|Oracle|Tableau|Regression Analysis|R|Exploratory Data Analysis|EDA,1 Day Ago
Data Analyst - Power BI Developer,https://www.naukri.com/job-listings-data-analyst-power-bi-developer-innovaccer-analytics-private-limited-noida-3-to-8-years-100621005637?src=jobsearchDesk&sid=16233957827611842_12&xp=2&px=13,INNOVACCER ANALYTICS PRIVATE LIMITED,https://www.naukri.com/innovaccer-analytics-jobs-careers-1230228,3-8 Yrs,"10,00,000 - 18,00,000 PA.",Noida,Power Bi|Healthcare|SQL|Data Analysis,1 Day Ago
HR Operations Specialist,https://www.naukri.com/job-listings-hr-operations-specialist-boyd-corporation-chennai-5-to-10-years-100621003861?src=jobsearchDesk&sid=16233957827611842_12&xp=3&px=13,Boyd Corporation,https://www.naukri.com/aavid-thermalloy-india-jobs-careers-152838,5-10 Yrs,Not disclosed,Chennai,Excel Powerpoint|Hr Reporting|HR Operations|File Manager|ADP Workforce|Payroll|Data Quality|Spoken English,1 Day Ago
"CustomerCare Executive-Voice/Chat support For Ecommerce setup, Gurgaon",https://www.naukri.com/job-listings-customercare-executive-voice-chat-support-for-ecommerce-setup-gurgaon-bloom-and-company-gurgaon-gurugram-delhi-ncr-3-to-5-years-100621003660?src=jobsearchDesk&sid=16233957827611842_12&xp=4&px=13,Bloom and Company,https://www.naukri.com/bloom-and-jobs-careers-5293428,3-5 Yrs,"4,75,000 - 5,00,000 PA.","Gurgaon(Surya Vihar +1), Delhi / NCR",Excel|Report Generation|Fluent|Team Coordination|Data Analysis|Operations Management,1 Day Ago
"Marketplace executive(Amazon, Flipkart, Myntra, Nykaa, Ajio)",https://www.naukri.com/job-listings-marketplace-executive-amazon-flipkart-myntra-nykaa-ajio-bloom-and-company-gurgaon-gurugram-delhi-ncr-3-to-5-years-100621003568?src=jobsearchDesk&sid=16233957827611842_12&xp=5&px=13,Bloom and Company,https://www.naukri.com/bloom-and-jobs-careers-5293428,3-5 Yrs,"2,50,000 - 3,00,000 PA.","Gurgaon(Surya Vihar +1), Delhi / NCR",Marketplace executive|Excel|Report Generation|Team Coordination|Data Analysis|Backend Operations|UNICOMMERCE|Operations Management,1 Day Ago
"Data Analyst I, Data Acquisition",https://www.naukri.com/job-listings-data-analyst-i-data-acquisition-dun-bradstreet-information-services-india-pvt-lt-d-delhi-ncr-2-to-5-years-100621003554?src=jobsearchDesk&sid=16233957827611842_12&xp=6&px=13,Dun & Bradstreet Information Services India Pvt Lt d,https://www.naukri.com/dun-bradstreet-information-services-india-lt-d-jobs-careers-32441,2-5 Yrs,Not disclosed,Delhi / NCR,Lead Generation|Concept Selling|Business Development|Target Achievement|Cross Functional Coordination|Excel|Profitability|Banking,1 Day Ago
Manager / Sr. Manager - Social Performance Management (Project),https://www.naukri.com/job-listings-manager-sr-manager-social-performance-management-project-satya-microcapital-limited-new-delhi-4-to-9-years-100621002543?src=jobsearchDesk&sid=16233957827611842_12&xp=7&px=13,Satya Microcapital limited,https://www.naukri.com/satya-microcapital-jobs-careers-3502618,4-9 Yrs,"6,00,000 - 8,00,000 PA.",New Delhi(Okhla),SPM|Social Performance|Data analysis|Project Documentation|rural development|Social Performance strategy|social  work|Project Coordination,1 Day Ago
Procurement Specialist,https://www.naukri.com/job-listings-procurement-specialist-ango-zara-comercio-e-industria-lda-noida-3-to-7-years-100621002101?src=jobsearchDesk&sid=16233957827611842_12&xp=8&px=13,Ango-Zara Comercio e Industria Lda,https://www.naukri.com/rz-impex-jobs-careers-1225380,3-7 Yrs,"2,50,000 - more than 3,00,000 PA.",Noida,Procurement|Purchase|Logistics|Negotiation|Warehouse|Data Analysis|Sourcing|Supply Chain Management,1 Day Ago
Data Analyst,https://www.naukri.com/job-listings-data-analyst-allegis-services-india-pvt-ltd-gurgaon-gurugram-2-to-6-years-100621000478?src=jobsearchDesk&sid=16233957827611842_12&xp=9&px=13,Allegis Services India Pvt. Ltd.,https://www.naukri.com/allegis-services-india-jobs-careers-10698,2-6 Yrs,"3,00,000 - 8,00,000 PA.",Gurgaon,Power BI|Freight Trading|Variance Analysis|Metal|commodity Trade Flow|Macros|Forecasting|crude,1 Day Ago
Area Sales Executive -Off role,https://www.naukri.com/job-listings-area-sales-executive-off-role-exide-industries-ltd-deoria-kanpur-dehat-moradabad-2-to-7-years-100521004485?src=jobsearchDesk&sid=16233957827611842_12&xp=10&px=13,EXIDE INDUSTRIES LTD,https://www.naukri.com/exide-industries-jobs-careers-414,2-7 Yrs,Not disclosed,"Deoria, Kanpur Dehat, Moradabad",Channel sales|Distribution|Dealer Development|Product Awareness|Payment Collection|Area Sales|Sales Strategy|Data Analysis,2 Days Ago
Business Analyst: ADM,https://www.naukri.com/job-listings-business-analyst-adm-ibm-india-pvt-limited-chennai-6-to-10-years-090621907305?src=jobsearchDesk&sid=16233957827611842_12&xp=11&px=13,IBM India Pvt. Limited,https://www.naukri.com/ibm-india-jobs-careers-16987,6-10 Yrs,Not disclosed,Chennai,Data analysis|Operational risk|Business analysis|Process improvement|Consulting|Back office|Problem management|Agile,1 Day Ago
Business Analyst: ADM,https://www.naukri.com/job-listings-business-analyst-adm-ibm-india-pvt-limited-kolkata-6-to-10-years-090621907075?src=jobsearchDesk&sid=16233957827611842_12&xp=12&px=13,IBM India Pvt. Limited,https://www.naukri.com/ibm-india-jobs-careers-16987,6-10 Yrs,Not disclosed,Kolkata,Data analysis|Operational risk|Business analysis|Process improvement|Consulting|Back office|Problem management|Agile,1 Day Ago
Data Compiler (2-6 years ),https://www.naukri.com/job-listings-data-compiler-2-6-years-ddf-consultants-pvt-ltd-new-delhi-2-to-7-years-090621008564?src=jobsearchDesk&sid=16233957827611842_12&xp=13&px=13,DDF Consultants Pvt Ltd,https://www.naukri.com/ddf-consultants-jobs-careers-537761,2-7 Yrs,Not disclosed,New Delhi(Netaji Subhash Place),Compiler|data compiler|Data Management|Data Analysis,1 Day Ago
Business Analyst - Lucknow,https://www.naukri.com/job-listings-business-analyst-lucknow-wal-mart-india-pvt-ltd-lucknow-3-to-6-years-090621006114?src=jobsearchDesk&sid=16233957827611842_12&xp=14&px=13,Bharti Walmart,https://www.naukri.com/bharti-walmart-jobs-careers-240298,3-6 Yrs,"4,00,000 - 5,00,000 PA.",Lucknow,MIS|Data Analysis|business analyst|Data Analytics|Business Analysis,1 Day Ago
Insurance Business Data Analyst,https://www.naukri.com/job-listings-insurance-business-data-analyst-xduce-technologies-pvt-ltd-ahmedabad-delhi-ncr-vadodara-baroda-7-to-10-years-090621004599?src=jobsearchDesk&sid=16233957827611842_12&xp=15&px=13,XDuce Technologies Pvt. Ltd.,https://www.naukri.com/xduce-technologies-jobs-careers-3108668,7-10 Yrs,"8,00,000 - 12,00,000 PA.","Ahmedabad(Ring Road), Delhi / NCR, Vadodara",Financial Accounting|Data Analysis|Data Mining|IT Skills|Cloud|Business Solutions|Excel|Finance,1 Day Ago
Senior Data Analyst,https://www.naukri.com/job-listings-senior-data-analyst-eli-research-india-private-limited-hyderabad-secunderabad-faridabad-3-to-5-years-040221007957?src=jobsearchDesk&sid=16233957827611842_12&xp=16&px=13,Eli Research India Private limited,https://www.naukri.com/eli-research-india-jobs-careers-183587,3-5 Yrs,Not disclosed,"Hyderabad, Faridabad",MS SQL|Data Analysis|datasets|Data Analytics|Forecasting|Excel VBA,1 Day Ago
Data Analyst,https://www.naukri.com/job-listings-data-analyst-eli-research-india-private-limited-hyderabad-secunderabad-faridabad-2-to-4-years-040221007936?src=jobsearchDesk&sid=16233957827611842_12&xp=17&px=13,Eli Research India Private limited,https://www.naukri.com/eli-research-india-jobs-careers-183587,2-4 Yrs,Not disclosed,"Hyderabad, Faridabad",macros|MS SQL|VBA|Database Management System|MS Access|MS Office Suite|Database Management|Data Analysis,1 Day Ago
Senior Data Processing Analyst (Quantitative Surveys),https://www.naukri.com/job-listings-senior-data-processing-analyst-quantitative-surveys-eli-research-india-private-limited-hyderabad-secunderabad-faridabad-5-to-7-years-040221007015?src=jobsearchDesk&sid=16233957827611842_12&xp=18&px=13,Eli Research India Private limited,https://www.naukri.com/eli-research-india-jobs-careers-183587,5-7 Yrs,Not disclosed,"Hyderabad, Faridabad",power pivot|decipher|automated data|Data Cleansing|HTML|SNAP|Macros|MS SQL,1 Day Ago
Business Analytics- Global Operations Performance Leader!,https://www.naukri.com/job-listings-business-analytics-global-operations-performance-leader-hcl-technologies-limited-noida-12-to-18-years-030621002638?src=jobsearchDesk&sid=16233957827611842_12&xp=19&px=13,HCL Technologies Limited,https://www.naukri.com/hcl-technologies-jobs-careers-506,12-18 Yrs,"30,00,000 - 40,00,000 PA.",Noida,Change Management|Excel|Metrics Reporting|Power Bi|Metrics Analysis|Global Operations|Data Analysis|Business Transformation,1 Day Ago
Area Sales Executive - Coimbatore,https://www.naukri.com/job-listings-area-sales-executive-coimbatore-exide-industries-ltd-coimbatore-2-to-7-years-030621000654?src=jobsearchDesk&sid=16233957827611842_12&xp=20&px=13,EXIDE INDUSTRIES LTD,https://www.naukri.com/exide-industries-jobs-careers-414,2-7 Yrs,Not disclosed,Coimbatore,Distributor Sales|Channel Sales|Dealer Development|Product Awareness|Market Information|Payment Collection|Sales Strategy|Data Analysis,2 Days Ago
Urgent Hiring For Quant Research Analyst/ Data Processing,https://www.naukri.com/job-listings-urgent-hiring-for-quant-research-analyst-data-processing-eli-research-india-private-limited-hyderabad-secunderabad-faridabad-6-to-11-years-021220005558?src=jobsearchDesk&sid=16233957827611842_13&xp=1&px=14,Eli Research India Private limited,https://www.naukri.com/eli-research-india-jobs-careers-183587,6-11 Yrs,Not disclosed,"Hyderabad, Faridabad",Questionnaire scripting|Data Cleansing|Snap|scripting|end user|tabulation|VBA|XML,1 Day Ago
Area Sales Executive - Jaunpur,https://www.naukri.com/job-listings-area-sales-executive-jaunpur-exide-industries-ltd-jaunpur-2-to-7-years-010421007556?src=jobsearchDesk&sid=16233957827611842_13&xp=2&px=14,EXIDE INDUSTRIES LTD,https://www.naukri.com/exide-industries-jobs-careers-414,2-7 Yrs,"2,00,000 - 5,00,000 PA.",Jaunpur,Distributor Sales|Channel Sales|Dealer Development|Product Awareness|Payment Collection|Sales Strategy|network development|Network Expansion,2 Days Ago
Area Sales Executive - Haridwar,https://www.naukri.com/job-listings-area-sales-executive-haridwar-exide-industries-ltd-haridwar-2-to-7-years-010421007549?src=jobsearchDesk&sid=16233957827611842_13&xp=3&px=14,EXIDE INDUSTRIES LTD,https://www.naukri.com/exide-industries-jobs-careers-414,2-7 Yrs,"2,00,000 - 5,00,000 PA.",Haridwar,Distributor Sales|Channel Sales|Dealer Development|Product Awareness|Payment Collection|Sales Strategy|network development|Network Expansion,2 Days Ago
Consultant - Google Analytics - Consulting Firm - IIT,https://www.naukri.com/job-listings-consultant-google-analytics-consulting-firm-iit-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-1-to-5-years-080121901279?src=jobsearchDesk&sid=16233957827611842_13&xp=4&px=14,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,1-5 Yrs,Not disclosed,"Gurgaon, Bangalore",IT Skills|Python|Tableau|SAS|data analysis|Web Analytics|Statistics|Analytics,1 Day Ago
IT Business Analyst 1-3 Yrs Exp,https://www.naukri.com/job-listings-it-business-analyst-1-3-yrs-exp-s2-infotech-international-limited-pune-1-to-3-years-090621005873?src=jobsearchDesk&sid=16233957827611842_13&xp=5&px=14,S2 INFOTECH INTERNATIONAL LIMITED,https://www.naukri.com/s2-infotech-international-jobs-careers-150490,1-3 Yrs,"1,75,000 - 3,00,000 PA.",Pune(Bavdhan),Analytical|Communication|analysis|Presentation Skills|Business Solutions|Mobile Applications|Web Technologies|Data Analysis,1 Day Ago
Data Science Trainee,https://www.naukri.com/job-listings-data-science-trainee-quickxpert-infotech-kolkata-thane-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-230920005213?src=jobsearchDesk&sid=16233957827611842_13&xp=6&px=14,QuickXpert Infotech,https://www.naukri.com/quickxpert-infotech-jobs-careers-1484892,0-5 Yrs,Not disclosed,"Kolkata, Thane, Hyderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore, Mumbai",python|IT Skills|Data Science|oracle|Oracle Developer|ai|python developer|python programmer,
Data Analyst,https://www.naukri.com/job-listings-data-analyst-vsn-international-pvt-ltd-indore-1-to-3-years-100621003627?src=jobsearchDesk&sid=16233957827611842_13&xp=7&px=14,VSN INTERNATIONAL Pvt Ltd,https://www.naukri.com/vsn-international-jobs-careers-1285580,1-3 Yrs,"2,00,000 - 3,00,000 PA.",Indore,Creative Solutions|Accuracy|Data Interpretation|Data Analysis|Mathematical Analysis,
Data Analyst Python R programming PL/SQL SAS  Retail Ecommerce,https://www.naukri.com/job-listings-data-analyst-python-r-programming-pl-sql-sas-retail-ecommerce-acesoft-labs-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-110621003285?src=jobsearchDesk&sid=16233957827611842_13&xp=8&px=14,Acesoft Labs (India) Pvt Ltd,https://www.naukri.com/acesoft-labs-india-jobs-careers-601539,3-8 Yrs,Not disclosed,"Hyderabad, Pune, Chennai, Bangalore, Mumbai",IT Skills|Python|Cloud|Oracle|AWS|Tableau|Predictive Modeling|Explaratory Analysis,Just Now
Data Analyst- Qlik/ Attunity,https://www.naukri.com/job-listings-data-analyst-qlik-attunity-trh-consultancy-services-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-5-to-10-years-100621904183?src=jobsearchDesk&sid=16233957827611842_13&xp=9&px=14,TRH Consultancy Services,https://www.naukri.com/premium-jobs-careers-852658,5-10 Yrs,Not disclosed,"Mumbai, Hyderabad, Pune, Chennai, Bangalore, Delhi / NCR",Qlik|communication|Datawarehouse|Attunity|Data Analyst,1 Day Ago
Data Analyst - Qlik/Attunity,https://www.naukri.com/job-listings-data-analyst-qlik-attunity-trh-consultancy-services-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-11-to-15-years-100621902417?src=jobsearchDesk&sid=16233957827611842_13&xp=10&px=14,TRH Consultancy Services,https://www.naukri.com/premium-jobs-careers-852658,11-15 Yrs,Not disclosed,"Mumbai, Hyderabad, Pune, Chennai, Bangalore, Delhi / NCR",Qlik|communication|snowflake|Attunity|Data warehouse,1 Day Ago
Group Manager - Black Belt/Six Sigma - BPO,https://www.naukri.com/job-listings-group-manager-black-belt-six-sigma-bpo-highrise-solutions-llp-visakhapatnam-vizag-pune-gurgaon-gurugram-bangalore-bengaluru-vishakhapatnam-6-to-9-years-110920901105?src=jobsearchDesk&sid=16233957827611842_13&xp=11&px=14,Highrise Solutions LLP,https://www.naukri.com/premium-jobs-careers-852658,6-9 Yrs,Not disclosed,"Visakhapatnam, Pune, Gurgaon, Bangalore, Vishakhapatnam",BPO|data analysis|Six Sigma|Lean|Minitab|Excel|Process Excellence|Blackbelt,1 Day Ago
Sr. Consultant Java Scala/ Spark,https://www.naukri.com/job-listings-sr-consultant-java-scala-spark-contactx-resource-management-mumbai-bangalore-bengaluru-4-to-8-years-090621908064?src=jobsearchDesk&sid=16233957827611842_13&xp=12&px=14,Contactx Resource Management,https://www.naukri.com/premium-jobs-careers-852658,4-8 Yrs,Not disclosed,"Mumbai, Bangalore",BDD|Behaviour driven development|Java|Spark|Actimize|data analysis|data profiling|Python,1 Day Ago
Associate - Global Mobility Services,https://www.naukri.com/job-listings-associate-global-mobility-services-catalyst-bangalore-bengaluru-3-to-5-years-131020908235?src=jobsearchDesk&sid=16233957827611842_13&xp=13&px=14,Catalyst,https://www.naukri.com/premium-jobs-careers-852658,3-5 Yrs,Not disclosed,Bangalore,Data Analysis|Mobility|Global Mobility|Process Excellence|Risk Management,1 Day Ago
EDI Offload Analyst,https://www.naukri.com/job-listings-edi-offload-analyst-success-booster-bangalore-bengaluru-5-to-9-years-100621006762?src=jobsearchDesk&sid=16233957827611842_13&xp=14&px=14,Success Booster,https://www.naukri.com/success-booster-jobs-careers-2761232,5-9 Yrs,Not disclosed,Bangalore,Data Interpretation|Data Analysis|EDI|ETL|SQL,1 Day Ago
Data Scientist - SAS/SQL/SPSS,https://www.naukri.com/job-listings-data-scientist-sas-sql-spss-talpro-delhi-ncr-bangalore-bengaluru-8-to-12-years-100221901678?src=jobsearchDesk&sid=16233957827611842_13&xp=15&px=14,Talpro,https://www.naukri.com/premium-jobs-careers-852658,8-12 Yrs,Not disclosed,"Delhi / NCR, Bangalore",IT Skills|Java|Testing|Product Management|database analysis|R|SAS|Data Management,1 Day Ago
Sr.Data Quality Analyst/ETL Testing/ DWH: Bangalore/Perm,https://www.naukri.com/job-listings-sr-data-quality-analyst-etl-testing-dwh-bangalore-perm-d-gence-staffing-services-pvt-ltd-bangalore-bengaluru-6-to-11-years-090621004761?src=jobsearchDesk&sid=16233957827611842_13&xp=16&px=14,D-Gence Staffing Services PVT LTD,https://www.naukri.com/d-gence-staffing-services-jobs-careers-5521090,6-11 Yrs,"20,00,000 - 25,00,000 PA.",Bangalore,Data Integration|Data Analysis|Data Profiling|IT Skills|Testing|Cloud|Data Validation|Quality Analyst,1 Day Ago
"Business Analyst-Capital Market, Bank(IT Experence)-Chenn/Pune/Mumbai",https://www.naukri.com/job-listings-business-analyst-capital-market-bank-it-experence-chenn-pune-mumbai-krg-technologies-india-pvt-ltd-pune-chennai-mumbai-all-areas-5-to-10-years-090621003418?src=jobsearchDesk&sid=16233957827611842_13&xp=17&px=14,KRG Technologies India Pvt Ltd,https://www.naukri.com/krg-technologies-india-jobs-careers-387283,5-10 Yrs,Not disclosed,"Pune, Chennai, Mumbai",PowerBI|SQL queries|analysis|IT Skills|Testing|Capital Market|Data analyst|Banking,1 Day Ago
Assistant Manager - Data Analyst - KPO,https://www.naukri.com/job-listings-assistant-manager-data-analyst-kpo-huquo-consulting-pvt-ltd-bangalore-bengaluru-3-to-6-years-080121900425?src=jobsearchDesk&sid=16233957827611842_13&xp=18&px=14,Huquo Consulting Pvt. Ltd,https://www.naukri.com/premium-jobs-careers-852658,3-6 Yrs,Not disclosed,Bangalore,Assistant Manager|Reporting Packages|Data Modeling|Data Analytics|Analytics|SQL,1 Day Ago
Data Analyst - Tableau/Power BI,https://www.naukri.com/job-listings-data-analyst-tableau-power-bi-yogy-hr-solutions-mumbai-3-to-4-years-300321903389?src=jobsearchDesk&sid=16233957827611842_13&xp=19&px=14,Yogy HR Solutions,https://www.naukri.com/premium-jobs-careers-852658,3-4 Yrs,Not disclosed,Mumbai,SAP HR|Power BI|Data Management|Data Analyst|Tableau|Data Analytics|SAP Payroll,1 Day Ago
BI Tableau Developer,https://www.naukri.com/job-listings-bi-tableau-developer-vienna-consultancy-services-pune-4-to-8-years-100621003076?src=jobsearchDesk&sid=16233957827611842_13&xp=20&px=14,Vienna Consultancy Services,https://www.naukri.com/vienna-consultancy-services-jobs-careers-5958278,4-8 Yrs,Not disclosed,Pune,IT Skills|Software Development|Testing|Tableau|SAP|SAP ERP|Webfocus|Data Management,1 Day Ago
Opening For AVP Research & Analysis,https://www.naukri.com/job-listings-opening-for-avp-research-analysis-topgear-consultants-pvt-ltd-mumbai-all-areas-5-to-10-years-100621001647?src=jobsearchDesk&sid=16233957827611842_14&xp=1&px=15,TopGear Consultants Pvt Ltd.,https://www.naukri.com/topgear-consultants-jobs-careers-78217,5-10 Yrs,Not disclosed,Mumbai,Team Development|FRM|Business Research|Research Analysis|CAIA|Quantitative Analysis|Financial Risk Management|Competitive Benchmarking,1 Day Ago
Opening For Project Manager- Global Analytical Company,https://www.naukri.com/job-listings-opening-for-project-manager-global-analytical-company-topgear-consultants-pvt-ltd-mumbai-all-areas-5-to-9-years-100621001046?src=jobsearchDesk&sid=16233957827611842_14&xp=2&px=15,TopGear Consultants Pvt Ltd.,https://www.naukri.com/topgear-consultants-jobs-careers-78217,5-9 Yrs,Not disclosed,Mumbai,Financial Services|Project Management|Data Analysis|Market Analysis|Project Planning|Market Research|Research Projects,1 Day Ago
Sr. Manager - BIU - Retail Liabilities,https://www.naukri.com/job-listings-sr-manager-biu-retail-liabilities-premier-consultants-mumbai-all-areas-4-to-9-years-090621005328?src=jobsearchDesk&sid=16233957827611842_14&xp=3&px=15,Premier Consultants,https://www.naukri.com/premier-consultants-jobs-careers-4112,4-9 Yrs,"20,00,000 - 30,00,000 PA.",Mumbai,Business Intelligence|Business Analytics|SAS|Retail Liabilities|Data Analysis|Data Mining|Data Analytics|BIU,1 Day Ago
Senior Manager Projects - Data Management,https://www.naukri.com/job-listings-senior-manager-projects-data-management-drishti-consultants-pvt-ltd-mumbai-all-areas-3-to-8-years-090621003282?src=jobsearchDesk&sid=16233957827611842_14&xp=4&px=15,Drishti Consultants Pvt. Ltd.,https://www.naukri.com/drishti-consultants-jobs-careers-333,3-8 Yrs,Not disclosed,Mumbai,Data Management|Data Analysis|Data Mining,1 Day Ago
Analyst/Data Modeler - Business Intelligence - Asset Management Firm,https://www.naukri.com/job-listings-analyst-data-modeler-business-intelligence-asset-management-firm-parc-kalite-consultant-mumbai-4-to-9-years-050121906497?src=jobsearchDesk&sid=16233957827611842_14&xp=5&px=15,PARC Kalite Consultant,https://www.naukri.com/premium-jobs-careers-852658,4-9 Yrs,Not disclosed,Mumbai,Business Intelligence|Data Management|Data Visualization|Data Modeling|Data Warehousing|Tableau|Data Analytics|Analytics,1 Day Ago
SCM Data Analyst,https://www.naukri.com/job-listings-scm-data-analyst-ferns-n-petals-pvt-ltd-delhi-ncr-2-to-4-years-100621007529?src=jobsearchDesk&sid=16233957827611842_14&xp=6&px=15,Ferns N Petals Pvt. Ltd,https://www.naukri.com/ferns-n-petals-jobs-careers-498045,2-4 Yrs,"4,00,000 - 6,00,000 PA.",Delhi / NCR(Sultanpur),SCM Data|Data Analysis|Logistic data|SAP SCM,
Chief Analytics Officer,https://www.naukri.com/job-listings-chief-analytics-officer-cloudstrats-technologies-private-limited-delhi-ncr-7-to-10-years-090621005563?src=jobsearchDesk&sid=16233957827611842_14&xp=7&px=15,Cloudstrats Technologies Private Limited,https://www.naukri.com/cloudstrats-technologies-jobs-careers-1079178,7-10 Yrs,Not disclosed,Delhi / NCR,Communication Skills|Planning Skills|Technology Planning|Budgeting Skills|Data Management|Data Analysis|Policy Development|Strategic Planning,
